current_bitrate,frame_size,duration
41666,15708,15
41666,294,3
41666,746,3
41666,3640,3
41666,3154,3
41666,2757,3
41666,3661,3
41666,3735,3
41666,3476,2
41666,2549,2
41666,3632,2
41666,3667,2
41666,3357,2
41666,2577,2
41666,3513,2
41666,3381,2
41666,3323,2
41666,2644,2
41666,3480,2
41666,3218,2
41666,3693,2
41666,2769,2
41666,3141,2
41666,3421,2
41666,3847,2
41666,2908,2
41666,3640,2
41666,3739,2
41666,3947,2
41666,2767,2
41666,3636,2
41666,3246,2
41666,3897,2
41666,2869,1
41666,3284,2
41666,3222,2
41666,3454,2
41666,2933,2
41666,3398,2
41666,3628,2
41666,3001,1
41666,2912,1
41666,3171,1
41666,3438,2
41666,3571,2
41666,2909,2
41666,3261,2
41666,3354,2
41666,3364,1
41666,3062,1
41666,3331,1
41666,3402,1
41666,3764,1
41666,2917,1
41666,3489,1
41666,3486,1
41666,3896,2
41666,3043,1
41666,3511,1
41666,3339,1
41666,3440,1
41666,3294,2
41666,3240,1
41666,3649,2
41666,3967,2
41666,2783,1
41666,3632,1
41666,3872,2
41666,3505,1
41666,3173,1
41666,3760,2
41666,3801,2
41666,4277,2
41666,3525,2
41666,4159,2
41666,3458,1
41666,4278,2
41666,3276,2
41666,3627,2
41666,4105,2
41666,4040,2
41666,3068,1
41666,3885,2
41666,4766,2
41666,4512,2
41666,3653,1
41666,4427,2
41666,4105,2
41666,4746,2
41666,3577,1
41666,4094,1
41666,4070,2
41666,4716,2
41666,3830,2
41666,4001,2
41666,4194,2
41666,4901,2
41666,3912,2
41666,4132,2
41666,4265,2
41666,4338,2
41666,3844,2
41666,4171,2
41666,4191,2
41666,4470,2
41666,3558,2
41666,4208,2
41666,4113,2
41666,4546,2
41666,4066,2
41666,4320,2
41666,3832,2
41666,4790,2
41666,3943,2
41666,4254,2
41666,4305,2
41666,5009,2
41666,4020,2
41666,4431,2
41666,4594,2
4166,5514,2
4166,4159,2
4166,4697,2
4166,4422,2
4166,5226,2
4166,4269,2
4166,4396,2
4166,4294,2
4166,4721,2
4166,4136,2
4166,4145,2
4166,4291,2
4166,5179,2
4166,3979,2
4166,4490,2
4166,4186,2
4166,4998,2
4166,4388,2
4166,4540,2
4166,4291,2
4166,5019,2
4166,4021,2
4166,4519,2
4166,4280,2
4166,4556,2
4166,3962,2
4166,3660,1
4166,3691,1
4166,4985,2
4166,3824,2
4166,4599,2
4166,4131,2
4166,4620,2
4166,4346,2
4166,4095,2
4166,4141,2
4166,5121,2
4166,3491,2
4166,4449,2
4166,3744,1
4166,4353,2
4166,4174,2
4166,3880,1
4166,3879,1
4166,4090,2
4166,3443,1
4166,4117,2
4166,3799,1
4166,4862,2
4166,3994,2
4166,3971,2
4166,3881,2
4166,4652,2
4166,3671,2
4166,4903,2
4166,4346,2
4166,5034,2
4166,4350,2
4166,4680,2
4166,4763,2
4166,4960,2
4166,3785,2
4166,4666,2
4166,4535,2
4166,5188,2
4166,4468,2
4166,4680,2
4166,4986,2
4166,5529,2
4166,4593,2
4166,5475,2
4166,5895,3
4166,5499,2
4166,5244,2
4166,5505,2
4166,5181,2
4166,5870,2
4166,4999,2
4166,5547,2
4166,5114,2
4166,6172,3
4166,4860,2
4166,5626,3
4166,6147,3
4166,5506,2
4166,4774,2
4166,5558,2
4166,5484,2
4166,6056,2
4166,5469,2
4166,6158,2
4166,5721,2
4166,6989,3
4166,6168,2
4166,6535,3
4166,5776,2
4166,6588,2
4166,5764,3
4166,5680,2
4166,5011,2
4166,5633,2
4166,4889,2
4166,4997,2
4166,4635,2
4166,4935,2
4166,3899,2
4166,4026,2
4166,3582,2
4166,4337,2
4166,3664,2
4166,3723,2
4166,3909,2
4166,3595,2
4166,4103,2
4166,3823,2
4166,4045,2
4166,3636,2
4166,4463,2
4166,4740,2
4166,3707,2
4166,3645,2
4166,4182,2
4166,4256,2
4166,3165,2
4166,3650,2
4166,3682,2
4166,4598,2
4166,3963,2
4166,3936,2
4166,3759,2
4166,3562,2
4166,3544,2
4166,4046,2
4166,3582,2
4166,3824,2
4166,3429,2
4166,3342,2
4166,3551,2
4166,3871,2
4166,3318,2
4166,3693,2
4166,4106,2
4166,4477,2
4166,3883,2
4166,4513,2
4166,4303,2
4166,4516,2
4166,4003,2
4166,4402,2
4166,4467,2
4166,4847,2
4166,4517,2
4166,4336,2
4166,4373,2
4166,4728,2
4166,3870,2
4166,4672,2
4166,4647,2
4166,5087,2
4166,4237,2
4166,4612,2
4166,4561,2
4166,4890,2
4166,4428,2
4166,4770,2
4166,4167,2
4166,4551,2
4166,4227,2
4166,1847,1
4166,2905,2
4166,3523,2
4166,3638,2
4166,4253,2
4166,3964,2
4166,4024,2
4166,4109,2
4166,4449,2
4166,4540,2
4166,4386,2
4166,4290,2
4166,4937,2
4166,4096,2
4166,4404,2
4166,4716,2
4166,5074,2
4166,5015,2
4166,4695,2
4166,4530,2
4166,4725,2
4166,4048,2
4166,4023,2
4166,4303,2
4166,4054,2
4166,4352,2
4166,4304,2
4166,4084,2
4166,4207,2
4166,3524,2
4166,3638,2
4166,3943,2
4166,3974,2
4166,4177,2
4166,3382,2
4166,4097,2
4166,3762,2
4166,4081,2
4166,4656,2
4166,4368,2
4166,4512,2
4166,4278,2
4166,3622,2
4166,4315,2
4166,3644,2
4166,3888,2
4166,3831,2
4166,4248,2
4166,3130,2
4166,3876,2
4166,4280,2
4166,4826,2
4166,4201,2
4166,3591,2
4166,4224,2
4166,4235,2
4166,4824,2
4166,4506,2
4166,5432,3
4166,4780,2
4166,4742,2
4166,4713,2
4166,4871,2
4166,4342,2
4166,4606,2
4166,4847,2
4166,4719,2
4166,5662,2
4166,4686,2
4166,5256,2
4166,4689,2
4166,4978,2
4166,4127,2
4166,5031,2
4166,4376,2
4166,5054,2
4166,4005,2
4166,4331,2
4166,3868,2
4166,4432,2
4166,3555,2
4166,3994,2
4166,3691,2
4166,4165,2
4166,3485,2
4166,4422,2
4166,3435,2
4166,4021,2
4166,3362,2
4166,4001,2
4166,4035,2
4166,4602,2
4166,3372,2
4166,4153,2
4166,3863,2
4166,4736,2
4166,3823,2
4166,4083,2
4166,3850,2
4166,4462,2
4166,3647,2
4166,4418,2
4166,3549,2
4166,3836,2
4166,3233,2
4166,3833,2
4166,3500,2
4166,3677,2
4166,3311,2
4166,3784,2
4166,3675,2
4166,4052,2
4166,3791,2
4166,4088,2
4166,3822,2
4166,3858,2
4166,3739,2
4166,3806,2
4166,3440,2
4166,4582,2
4166,4842,2
4166,4985,2
4166,3409,2
4166,4143,2
4166,3861,2
4166,4082,2
4166,3020,1
4166,3680,2
4166,3202,1
4166,3688,2
4166,3245,1
4166,3379,1
4166,3298,1
4166,3603,1
4166,3017,1
4166,4124,2
4166,3385,1
4166,3539,2
4166,3350,1
4166,3593,1
4166,3319,1
4166,3361,1
4166,2664,1
4166,3555,2
4166,3129,1
4166,3292,1
4166,3230,1
4166,3961,1
4166,3592,1
4166,3844,2
4166,3583,2
4166,4098,2
4166,3899,2
4166,3725,2
4166,3715,2
4166,3841,2
4166,3479,1
4166,3872,2
4166,3165,1
4166,3745,2
4166,3305,1
4166,3542,2
4166,3283,1
4166,4062,2
4166,3874,1
4166,4070,1
4166,3677,2
4166,4086,2
4166,3625,1
4166,3990,2
4166,3563,1
4166,3948,2
4166,3750,2
4166,3820,2
4166,3548,2
4166,3990,2
4166,3445,1
4166,3492,2
4166,3286,1
4166,3726,1
4166,3460,2
4166,3681,2
4166,3265,1
4166,3620,1
4166,3143,1
4166,3600,1
4166,3514,1
4166,3871,2
4166,3301,1
4166,3753,2
4166,3389,1
4166,4150,2
4166,3725,2
4166,3967,2
4166,3618,2
4166,3873,2
4166,3542,1
4166,3841,2
4166,3390,1
4166,3614,1
4166,3417,2
4166,3788,2
4166,3708,1
4166,3797,2
4166,3368,1
4166,4153,2
4166,3172,1
4166,3849,2
4166,3565,2
4166,3541,2
4166,3360,1
4166,3780,2
4166,3361,2
4166,3601,2
4166,3273,1
4166,3605,1
4166,2975,1
4166,3634,2
4166,3136,1
4166,3531,2
4166,3203,1
4166,3326,1
4166,3060,1
4166,3587,2
4166,3105,2
4166,3267,1
4166,3050,1
4166,3516,1
4166,3002,1
4166,3526,2
4166,3313,1
4166,3633,1
4166,3600,2
4166,4128,2
4166,3245,1
4166,3609,2
4166,3775,1
4166,3886,2
4166,2606,1
4166,3259,1
4166,3472,2
4166,3221,1
4166,3020,1
4166,3391,1
4166,3445,1
4166,3263,1
4166,2773,1
4166,3505,1
4166,3470,2
4166,3801,1
4166,2664,1
4166,3269,1
4166,3460,2
4166,3317,2
4166,3560,2
4166,3005,2
4166,3385,2
4166,3871,2
4166,3076,1
4166,3292,1
4166,3601,1
4166,3729,2
4166,3835,2
4166,3953,2
4166,3926,2
4166,3755,2
4166,3219,1
4166,4047,1
4166,3720,1
4166,3555,1
4166,3677,1
4166,4357,2
4166,3590,1
4166,4415,2
4166,3985,1
4166,4506,2
4166,3970,1
4166,4436,2
4166,3933,1
4166,4417,2
4166,3610,1
4166,4481,2
4166,3828,1
4166,4271,2
4166,3474,1
4166,4154,1
4166,3787,1
4166,4503,2
