frame_index, frame_size, send_frame_index_when_display, send_time_point, receive_time_point, display_time_point, receive_delay, display_delay
0, 44, 2, 0.000000, 73.666667, 73.666667, 73.666667, 73.666667
1, 1, 3, 33.333333, 74.666667, 107.000000, 41.333333, 73.666667
2, 1, 4, 66.666667, 101.000000, 140.333333, 34.333333, 73.666667
3, 2, 5, 100.000000, 135.333333, 173.666667, 35.333333, 73.666667
4, 6, 6, 133.333333, 172.666667, 207.000000, 39.333333, 73.666667
5, 5, 7, 166.666667, 205.000000, 240.333333, 38.333333, 73.666667
6, 8, 8, 200.000000, 241.333333, 273.666667, 41.333333, 73.666667
7, 8, 9, 233.333333, 274.666667, 307.000000, 41.333333, 73.666667
8, 8, 10, 266.666667, 308.000000, 340.333333, 41.333333, 73.666667
9, 5, 11, 300.000000, 338.333333, 373.666667, 38.333333, 73.666667
10, 8, 12, 333.333333, 374.666667, 407.000000, 41.333333, 73.666667
11, 8, 13, 366.666667, 408.000000, 440.333333, 41.333333, 73.666667
12, 7, 14, 400.000000, 440.333333, 473.666667, 40.333333, 73.666667
13, 6, 15, 433.333333, 472.666667, 507.000000, 39.333333, 73.666667
14, 8, 16, 466.666667, 508.000000, 540.333333, 41.333333, 73.666667
15, 6, 17, 500.000000, 539.333333, 573.666667, 39.333333, 73.666667
16, 7, 18, 533.333333, 573.666667, 607.000000, 40.333333, 73.666667
17, 5, 19, 566.666667, 605.000000, 640.333333, 38.333333, 73.666667
18, 8, 20, 600.000000, 641.333333, 673.666667, 41.333333, 73.666667
19, 7, 21, 633.333333, 673.666667, 707.000000, 40.333333, 73.666667
20, 9, 22, 666.666667, 709.000000, 740.333333, 42.333333, 73.666667
21, 7, 23, 700.000000, 740.333333, 773.666667, 40.333333, 73.666667
22, 6, 24, 733.333333, 772.666667, 807.000000, 39.333333, 73.666667
23, 8, 25, 766.666667, 808.000000, 840.333333, 41.333333, 73.666667
24, 8, 26, 800.000000, 841.333333, 873.666667, 41.333333, 73.666667
25, 7, 27, 833.333333, 873.666667, 907.000000, 40.333333, 73.666667
26, 8, 28, 866.666667, 908.000000, 940.333333, 41.333333, 73.666667
27, 8, 29, 900.000000, 941.333333, 973.666667, 41.333333, 73.666667
28, 8, 30, 933.333333, 974.666667, 1007.000000, 41.333333, 73.666667
29, 5, 31, 966.666667, 1005.000000, 1040.333333, 38.333333, 73.666667
30, 8, 32, 1000.000000, 1041.333333, 1073.666667, 41.333333, 73.666667
31, 9, 33, 1033.333333, 1075.666667, 1107.000000, 42.333333, 73.666667
32, 7, 34, 1066.666667, 1107.000000, 1140.333333, 40.333333, 73.666667
33, 7, 35, 1100.000000, 1140.333333, 1173.666667, 40.333333, 73.666667
34, 8, 36, 1133.333333, 1174.666667, 1207.000000, 41.333333, 73.666667
35, 8, 37, 1166.666667, 1208.000000, 1240.333333, 41.333333, 73.666667
36, 7, 38, 1200.000000, 1240.333333, 1273.666667, 40.333333, 73.666667
37, 7, 39, 1233.333333, 1273.666667, 1307.000000, 40.333333, 73.666667
38, 8, 40, 1266.666667, 1308.000000, 1340.333333, 41.333333, 73.666667
39, 9, 41, 1300.000000, 1342.333333, 1373.666667, 42.333333, 73.666667
40, 6, 42, 1333.333333, 1372.666667, 1407.000000, 39.333333, 73.666667
41, 6, 43, 1366.666667, 1406.000000, 1440.333333, 39.333333, 73.666667
42, 7, 44, 1400.000000, 1440.333333, 1473.666667, 40.333333, 73.666667
43, 8, 45, 1433.333333, 1474.666667, 1507.000000, 41.333333, 73.666667
44, 7, 46, 1466.666667, 1507.000000, 1540.333333, 40.333333, 73.666667
45, 6, 47, 1500.000000, 1539.333333, 1573.666667, 39.333333, 73.666667
46, 7, 48, 1533.333333, 1573.666667, 1607.000000, 40.333333, 73.666667
47, 7, 49, 1566.666667, 1607.000000, 1640.333333, 40.333333, 73.666667
48, 7, 50, 1600.000000, 1640.333333, 1673.666667, 40.333333, 73.666667
49, 7, 51, 1633.333333, 1673.666667, 1707.000000, 40.333333, 73.666667
50, 7, 52, 1666.666667, 1707.000000, 1740.333333, 40.333333, 73.666667
51, 8, 53, 1700.000000, 1741.333333, 1773.666667, 41.333333, 73.666667
52, 7, 54, 1733.333333, 1773.666667, 1807.000000, 40.333333, 73.666667
53, 7, 55, 1766.666667, 1807.000000, 1840.333333, 40.333333, 73.666667
54, 7, 56, 1800.000000, 1840.333333, 1873.666667, 40.333333, 73.666667
55, 8, 57, 1833.333333, 1874.666667, 1907.000000, 41.333333, 73.666667
56, 7, 58, 1866.666667, 1907.000000, 1940.333333, 40.333333, 73.666667
57, 7, 59, 1900.000000, 1940.333333, 1973.666667, 40.333333, 73.666667
58, 8, 60, 1933.333333, 1974.666667, 2007.000000, 41.333333, 73.666667
59, 7, 61, 1966.666667, 2007.000000, 2040.333333, 40.333333, 73.666667
60, 7, 62, 2000.000000, 2040.333333, 2073.666667, 40.333333, 73.666667
61, 6, 63, 2033.333333, 2072.666667, 2107.000000, 39.333333, 73.666667
62, 7, 64, 2066.666667, 2107.000000, 2140.333333, 40.333333, 73.666667
63, 7, 65, 2100.000000, 2140.333333, 2173.666667, 40.333333, 73.666667
64, 7, 66, 2133.333333, 2173.666667, 2207.000000, 40.333333, 73.666667
65, 7, 67, 2166.666667, 2207.000000, 2240.333333, 40.333333, 73.666667
66, 7, 68, 2200.000000, 2240.333333, 2273.666667, 40.333333, 73.666667
67, 8, 69, 2233.333333, 2274.666667, 2307.000000, 41.333333, 73.666667
68, 6, 70, 2266.666667, 2306.000000, 2340.333333, 39.333333, 73.666667
69, 7, 71, 2300.000000, 2340.333333, 2373.666667, 40.333333, 73.666667
70, 8, 72, 2333.333333, 2374.666667, 2407.000000, 41.333333, 73.666667
71, 8, 73, 2366.666667, 2408.000000, 2440.333333, 41.333333, 73.666667
72, 8, 74, 2400.000000, 2441.333333, 2473.666667, 41.333333, 73.666667
73, 8, 75, 2433.333333, 2474.666667, 2507.000000, 41.333333, 73.666667
74, 7, 76, 2466.666667, 2507.000000, 2540.333333, 40.333333, 73.666667
75, 8, 77, 2500.000000, 2541.333333, 2573.666667, 41.333333, 73.666667
76, 7, 78, 2533.333333, 2573.666667, 2607.000000, 40.333333, 73.666667
77, 8, 79, 2566.666667, 2608.000000, 2640.333333, 41.333333, 73.666667
78, 8, 80, 2600.000000, 2641.333333, 2673.666667, 41.333333, 73.666667
79, 8, 81, 2633.333333, 2674.666667, 2707.000000, 41.333333, 73.666667
80, 8, 82, 2666.666667, 2708.000000, 2740.333333, 41.333333, 73.666667
81, 7, 83, 2700.000000, 2740.333333, 2773.666667, 40.333333, 73.666667
82, 8, 84, 2733.333333, 2774.666667, 2807.000000, 41.333333, 73.666667
83, 8, 85, 2766.666667, 2808.000000, 2840.333333, 41.333333, 73.666667
84, 9, 86, 2800.000000, 2842.333333, 2873.666667, 42.333333, 73.666667
85, 8, 87, 2833.333333, 2874.666667, 2907.000000, 41.333333, 73.666667
86, 11, 88, 2866.666667, 2911.000000, 2940.333333, 44.333333, 73.666667
87, 8, 89, 2900.000000, 2941.333333, 2973.666667, 41.333333, 73.666667
88, 9, 90, 2933.333333, 2975.666667, 3007.000000, 42.333333, 73.666667
89, 6, 91, 2966.666667, 3006.000000, 3040.333333, 39.333333, 73.666667
90, 8, 92, 3000.000000, 3041.333333, 3073.666667, 41.333333, 73.666667
91, 10, 93, 3033.333333, 3076.666667, 3107.000000, 43.333333, 73.666667
