current_bitrate,frame_size,duration
41666,15711,5
41666,275,1
41666,713,1
41666,3055,2
41666,3597,2
41666,2572,1
41666,3861,2
41666,3432,2
41666,3751,2
41666,2550,2
41666,3683,2
41666,3559,2
41666,3534,2
41666,2554,2
41666,3580,2
41666,3524,2
41666,3370,2
41666,2982,2
41666,3670,2
41666,3454,2
41666,3871,2
41666,2870,1
41666,3258,2
41666,3341,2
41666,3972,2
41666,3115,2
41666,3580,2
41666,3867,2
41666,4070,2
41666,2802,2
41666,3447,2
41666,3760,2
41666,3832,3
41666,2918,2
41666,3466,2
41666,3075,2
41666,3860,2
41666,2373,2
41666,3287,2
41666,4101,2
41666,3539,2
41666,2616,2
41666,2891,2
41666,3357,2
41666,4048,2
41666,2785,2
41666,3072,2
41666,3673,2
41666,3862,2
41666,2827,2
41666,3154,2
41666,3703,2
41666,4114,2
41666,3179,1
41666,3722,2
41666,3747,2
41666,4564,2
41666,3168,2
41666,3716,2
41666,3976,2
41666,4290,2
41666,3040,2
41666,3751,2
41666,3818,2
41666,4646,2
41666,3257,2
41666,3668,2
41666,4038,2
41666,4352,2
41666,3494,2
41666,3965,2
41666,3898,2
41666,5014,2
41666,3728,2
41666,4328,2
41666,3953,2
41666,4536,2
41666,3352,2
41666,4078,2
41666,4337,2
41666,4696,2
41666,3604,2
41666,3970,2
41666,5190,2
41666,4878,2
41666,3969,2
41666,4653,2
41666,4261,2
41666,5024,2
41666,3840,2
41666,4171,2
41666,4432,2
41666,5044,2
41666,3958,2
41666,4364,2
41666,4289,2
41666,5197,2
41666,4170,2
41666,4304,2
41666,4301,2
41666,4699,2
41666,4076,2
41666,4460,2
41666,4344,2
41666,4695,2
41666,3726,2
41666,4323,2
41666,4185,2
41666,4831,2
41666,4180,2
41666,4477,2
41666,4165,2
41666,4966,2
41666,4110,2
41666,4526,2
41666,4333,2
41666,5200,2
41666,4108,2
41666,4581,2
41666,4859,2
4166,5464,2
4166,4385,2
4166,4904,2
4166,4439,2
4166,5353,2
4166,4224,2
4166,4341,2
4166,4415,2
4166,4831,2
4166,4258,2
4166,4146,2
4166,4528,2
4166,5104,2
4166,4081,2
4166,4673,2
4166,4255,2
4166,4980,2
4166,4484,2
4166,4584,2
4166,4480,2
4166,5045,2
4166,4129,2
4166,4573,2
4166,4225,2
4166,4657,2
4166,3901,2
4166,3755,2
4166,3792,2
4166,4958,2
4166,3828,2
4166,4726,2
4166,4258,2
4166,4666,2
4166,4461,2
4166,4112,2
4166,4267,2
4166,5047,2
4166,3530,2
4166,4462,2
4166,3806,2
4166,4379,2
4166,4038,2
4166,4079,2
4166,3805,2
4166,4005,2
4166,3653,2
4166,4187,2
4166,3886,2
4166,4835,2
4166,4168,2
4166,4055,2
4166,4027,2
4166,4725,2
4166,3757,2
4166,4881,2
4166,4180,2
4166,5059,2
4166,4510,2
4166,4527,2
4166,4757,2
4166,5076,2
4166,3883,2
4166,4795,2
4166,4505,2
4166,5215,2
4166,4300,2
4166,4725,2
4166,4992,2
4166,5662,2
4166,4479,2
4166,5623,2
4166,5764,3
4166,5591,2
4166,5006,2
4166,5604,2
4166,4953,2
4166,5946,3
4166,5091,2
4166,5867,3
4166,5221,2
4166,6180,3
4166,4683,2
4166,5536,2
4166,6026,3
4166,5712,2
4166,4766,2
4166,5786,3
4166,5717,2
4166,5957,3
4166,5518,2
4166,6251,3
4166,5768,3
