frame_index, frame_size, send_frame_index_when_display, send_time_point, receive_time_point, display_time_point, receive_delay, display_delay
0, 125, 1, 0.000000, 45.833333, 45.833333, 45.833333, 45.833333
1, 2, 2, 33.333333, 66.866667, 79.166667, 33.533333, 45.833333
2, 5, 3, 66.666667, 100.500000, 112.500000, 33.833333, 45.833333
3, 24, 4, 100.000000, 135.733333, 145.833333, 35.733333, 45.833333
4, 28, 5, 133.333333, 169.466667, 179.166667, 36.133333, 45.833333
5, 20, 6, 166.666667, 202.000000, 212.500000, 35.333333, 45.833333
6, 30, 7, 200.000000, 236.333333, 245.833333, 36.333333, 45.833333
7, 27, 8, 233.333333, 269.366667, 279.166667, 36.033333, 45.833333
8, 30, 9, 266.666667, 303.000000, 312.500000, 36.333333, 45.833333
9, 20, 10, 300.000000, 335.333333, 345.833333, 35.333333, 45.833333
10, 29, 11, 333.333333, 369.566667, 379.166667, 36.233333, 45.833333
11, 28, 12, 366.666667, 402.800000, 412.500000, 36.133333, 45.833333
12, 28, 13, 400.000000, 436.133333, 445.833333, 36.133333, 45.833333
13, 20, 14, 433.333333, 468.666667, 479.166667, 35.333333, 45.833333
14, 28, 15, 466.666667, 502.800000, 512.500000, 36.133333, 45.833333
15, 28, 16, 500.000000, 536.133333, 545.833333, 36.133333, 45.833333
16, 26, 17, 533.333333, 569.266667, 579.166667, 35.933333, 45.833333
17, 23, 18, 566.666667, 602.300000, 612.500000, 35.633333, 45.833333
18, 29, 19, 600.000000, 636.233333, 645.833333, 36.233333, 45.833333
19, 27, 20, 633.333333, 669.366667, 679.166667, 36.033333, 45.833333
20, 30, 21, 666.666667, 703.000000, 712.500000, 36.333333, 45.833333
21, 22, 22, 700.000000, 735.533333, 745.833333, 35.533333, 45.833333
22, 26, 23, 733.333333, 769.266667, 779.166667, 35.933333, 45.833333
23, 26, 24, 766.666667, 802.600000, 812.500000, 35.933333, 45.833333
24, 31, 25, 800.000000, 836.433333, 845.833333, 36.433333, 45.833333
25, 24, 26, 833.333333, 869.066667, 879.166667, 35.733333, 45.833333
26, 28, 27, 866.666667, 902.800000, 912.500000, 36.133333, 45.833333
27, 30, 28, 900.000000, 936.333333, 945.833333, 36.333333, 45.833333
28, 32, 29, 933.333333, 969.866667, 979.166667, 36.533333, 45.833333
29, 22, 30, 966.666667, 1002.200000, 1012.500000, 35.533333, 45.833333
30, 27, 31, 1000.000000, 1036.033333, 1045.833333, 36.033333, 45.833333
31, 30, 32, 1033.333333, 1069.666667, 1079.166667, 36.333333, 45.833333
32, 30, 33, 1066.666667, 1103.000000, 1112.500000, 36.333333, 45.833333
33, 23, 34, 1100.000000, 1135.633333, 1145.833333, 35.633333, 45.833333
34, 27, 35, 1133.333333, 1169.366667, 1179.166667, 36.033333, 45.833333
35, 24, 36, 1166.666667, 1202.400000, 1212.500000, 35.733333, 45.833333
36, 30, 37, 1200.000000, 1236.333333, 1245.833333, 36.333333, 45.833333
37, 18, 38, 1233.333333, 1268.466667, 1279.166667, 35.133333, 45.833333
38, 26, 39, 1266.666667, 1302.600000, 1312.500000, 35.933333, 45.833333
39, 32, 40, 1300.000000, 1336.533333, 1345.833333, 36.533333, 45.833333
40, 28, 41, 1333.333333, 1369.466667, 1379.166667, 36.133333, 45.833333
41, 20, 42, 1366.666667, 1402.000000, 1412.500000, 35.333333, 45.833333
42, 23, 43, 1400.000000, 1435.633333, 1445.833333, 35.633333, 45.833333
43, 26, 44, 1433.333333, 1469.266667, 1479.166667, 35.933333, 45.833333
44, 32, 45, 1466.666667, 1503.200000, 1512.500000, 36.533333, 45.833333
45, 22, 46, 1500.000000, 1535.533333, 1545.833333, 35.533333, 45.833333
46, 24, 47, 1533.333333, 1569.066667, 1579.166667, 35.733333, 45.833333
47, 29, 48, 1566.666667, 1602.900000, 1612.500000, 36.233333, 45.833333
48, 30, 49, 1600.000000, 1636.333333, 1645.833333, 36.333333, 45.833333
49, 22, 50, 1633.333333, 1668.866667, 1679.166667, 35.533333, 45.833333
50, 25, 51, 1666.666667, 1702.500000, 1712.500000, 35.833333, 45.833333
51, 29, 52, 1700.000000, 1736.233333, 1745.833333, 36.233333, 45.833333
52, 32, 53, 1733.333333, 1769.866667, 1779.166667, 36.533333, 45.833333
53, 25, 54, 1766.666667, 1802.500000, 1812.500000, 35.833333, 45.833333
54, 29, 55, 1800.000000, 1836.233333, 1845.833333, 36.233333, 45.833333
55, 29, 56, 1833.333333, 1869.566667, 1879.166667, 36.233333, 45.833333
56, 36, 57, 1866.666667, 1903.600000, 1912.500000, 36.933333, 45.833333
57, 25, 58, 1900.000000, 1935.833333, 1945.833333, 35.833333, 45.833333
58, 29, 59, 1933.333333, 1969.566667, 1979.166667, 36.233333, 45.833333
59, 31, 60, 1966.666667, 2003.100000, 2012.500000, 36.433333, 45.833333
60, 34, 61, 2000.000000, 2036.733333, 2045.833333, 36.733333, 45.833333
61, 24, 62, 2033.333333, 2069.066667, 2079.166667, 35.733333, 45.833333
62, 30, 63, 2066.666667, 2103.000000, 2112.500000, 36.333333, 45.833333
63, 30, 64, 2100.000000, 2136.333333, 2145.833333, 36.333333, 45.833333
64, 37, 65, 2133.333333, 2170.366667, 2179.166667, 37.033333, 45.833333
65, 26, 66, 2166.666667, 2202.600000, 2212.500000, 35.933333, 45.833333
66, 29, 67, 2200.000000, 2236.233333, 2245.833333, 36.233333, 45.833333
67, 32, 68, 2233.333333, 2269.866667, 2279.166667, 36.533333, 45.833333
68, 34, 69, 2266.666667, 2303.400000, 2312.500000, 36.733333, 45.833333
69, 27, 70, 2300.000000, 2336.033333, 2345.833333, 36.033333, 45.833333
70, 31, 71, 2333.333333, 2369.766667, 2379.166667, 36.433333, 45.833333
71, 31, 72, 2366.666667, 2403.100000, 2412.500000, 36.433333, 45.833333
72, 40, 73, 2400.000000, 2437.333333, 2445.833333, 37.333333, 45.833333
73, 29, 74, 2433.333333, 2469.566667, 2479.166667, 36.233333, 45.833333
74, 34, 75, 2466.666667, 2503.400000, 2512.500000, 36.733333, 45.833333
75, 31, 76, 2500.000000, 2536.433333, 2545.833333, 36.433333, 45.833333
76, 36, 77, 2533.333333, 2570.266667, 2579.166667, 36.933333, 45.833333
77, 26, 78, 2566.666667, 2602.600000, 2612.500000, 35.933333, 45.833333
78, 32, 79, 2600.000000, 2636.533333, 2645.833333, 36.533333, 45.833333
79, 34, 80, 2633.333333, 2670.066667, 2679.166667, 36.733333, 45.833333
80, 37, 81, 2666.666667, 2703.700000, 2712.500000, 37.033333, 45.833333
81, 28, 82, 2700.000000, 2736.133333, 2745.833333, 36.133333, 45.833333
82, 31, 83, 2733.333333, 2769.766667, 2779.166667, 36.433333, 45.833333
83, 41, 84, 2766.666667, 2804.100000, 2812.500000, 37.433333, 45.833333
84, 39, 85, 2800.000000, 2837.233333, 2845.833333, 37.233333, 45.833333
85, 31, 86, 2833.333333, 2869.766667, 2879.166667, 36.433333, 45.833333
86, 37, 87, 2866.666667, 2903.700000, 2912.500000, 37.033333, 45.833333
87, 34, 88, 2900.000000, 2936.733333, 2945.833333, 36.733333, 45.833333
88, 40, 89, 2933.333333, 2970.666667, 2979.166667, 37.333333, 45.833333
89, 30, 90, 2966.666667, 3003.000000, 3012.500000, 36.333333, 45.833333
90, 33, 91, 3000.000000, 3036.633333, 3045.833333, 36.633333, 45.833333
91, 35, 92, 3033.333333, 3070.166667, 3079.166667, 36.833333, 45.833333
92, 40, 93, 3066.666667, 3104.000000, 3112.500000, 37.333333, 45.833333
93, 31, 94, 3100.000000, 3136.433333, 3145.833333, 36.433333, 45.833333
94, 34, 95, 3133.333333, 3170.066667, 3179.166667, 36.733333, 45.833333
95, 34, 96, 3166.666667, 3203.400000, 3212.500000, 36.733333, 45.833333
96, 41, 97, 3200.000000, 3237.433333, 3245.833333, 37.433333, 45.833333
97, 33, 98, 3233.333333, 3269.966667, 3279.166667, 36.633333, 45.833333
98, 34, 99, 3266.666667, 3303.400000, 3312.500000, 36.733333, 45.833333
99, 34, 100, 3300.000000, 3336.733333, 3345.833333, 36.733333, 45.833333
100, 37, 101, 3333.333333, 3370.366667, 3379.166667, 37.033333, 45.833333
101, 32, 102, 3366.666667, 3403.200000, 3412.500000, 36.533333, 45.833333
102, 35, 103, 3400.000000, 3436.833333, 3445.833333, 36.833333, 45.833333
103, 34, 104, 3433.333333, 3470.066667, 3479.166667, 36.733333, 45.833333
104, 37, 105, 3466.666667, 3503.700000, 3512.500000, 37.033333, 45.833333
105, 29, 106, 3500.000000, 3536.233333, 3545.833333, 36.233333, 45.833333
106, 34, 107, 3533.333333, 3570.066667, 3579.166667, 36.733333, 45.833333
107, 33, 108, 3566.666667, 3603.300000, 3612.500000, 36.633333, 45.833333
108, 38, 109, 3600.000000, 3637.133333, 3645.833333, 37.133333, 45.833333
109, 33, 110, 3633.333333, 3669.966667, 3679.166667, 36.633333, 45.833333
110, 35, 111, 3666.666667, 3703.500000, 3712.500000, 36.833333, 45.833333
111, 33, 112, 3700.000000, 3736.633333, 3745.833333, 36.633333, 45.833333
112, 39, 113, 3733.333333, 3770.566667, 3779.166667, 37.233333, 45.833333
113, 32, 114, 3766.666667, 3803.200000, 3812.500000, 36.533333, 45.833333
114, 36, 115, 3800.000000, 3836.933333, 3845.833333, 36.933333, 45.833333
115, 34, 116, 3833.333333, 3870.066667, 3879.166667, 36.733333, 45.833333
116, 41, 117, 3866.666667, 3904.100000, 3912.500000, 37.433333, 45.833333
117, 32, 118, 3900.000000, 3936.533333, 3945.833333, 36.533333, 45.833333
118, 36, 119, 3933.333333, 3970.266667, 3979.166667, 36.933333, 45.833333
119, 38, 121, 3966.666667, 4034.333333, 4034.333333, 67.666667, 67.666667
120, 43, 122, 4000.000000, 4073.666667, 4073.666667, 73.666667, 73.666667
121, 35, 123, 4033.333333, 4105.000000, 4107.000000, 71.666667, 73.666667
122, 39, 124, 4066.666667, 4140.333333, 4140.333333, 73.666667, 73.666667
123, 35, 125, 4100.000000, 4171.666667, 4173.666667, 71.666667, 73.666667
124, 42, 126, 4133.333333, 4210.000000, 4210.000000, 76.666667, 76.666667
125, 33, 127, 4166.666667, 4239.333333, 4243.333333, 72.666667, 76.666667
126, 34, 128, 4200.000000, 4269.666667, 4276.666667, 69.666667, 76.666667
127, 35, 129, 4233.333333, 4301.000000, 4310.000000, 67.666667, 76.666667
128, 38, 130, 4266.666667, 4335.333333, 4343.333333, 68.666667, 76.666667
129, 34, 131, 4300.000000, 4369.333333, 4376.666667, 69.333333, 76.666667
130, 33, 132, 4333.333333, 4399.666667, 4410.000000, 66.333333, 76.666667
131, 36, 133, 4366.666667, 4436.000000, 4443.333333, 69.333333, 76.666667
132, 40, 134, 4400.000000, 4469.666667, 4476.666667, 69.666667, 76.666667
133, 32, 135, 4433.333333, 4501.666667, 4510.000000, 68.333333, 76.666667
134, 37, 136, 4466.666667, 4537.000000, 4543.333333, 70.333333, 76.666667
135, 34, 137, 4500.000000, 4567.333333, 4576.666667, 67.333333, 76.666667
136, 39, 138, 4533.333333, 4602.000000, 4610.000000, 68.666667, 76.666667
137, 35, 139, 4566.666667, 4637.000000, 4643.333333, 70.333333, 76.666667
138, 36, 140, 4600.000000, 4669.333333, 4676.666667, 69.333333, 76.666667
139, 35, 141, 4633.333333, 4701.666667, 4710.000000, 68.333333, 76.666667
140, 40, 142, 4666.666667, 4736.333333, 4743.333333, 69.666667, 76.666667
141, 33, 143, 4700.000000, 4769.333333, 4776.666667, 69.333333, 76.666667
142, 36, 144, 4733.333333, 4802.666667, 4810.000000, 69.333333, 76.666667
143, 33, 145, 4766.666667, 4833.000000, 4843.333333, 66.333333, 76.666667
144, 37, 146, 4800.000000, 4870.333333, 4876.666667, 70.333333, 76.666667
145, 31, 147, 4833.333333, 4897.666667, 4910.000000, 64.333333, 76.666667
146, 30, 148, 4866.666667, 4930.000000, 4943.333333, 63.333333, 76.666667
147, 30, 149, 4900.000000, 4963.333333, 4976.666667, 63.333333, 76.666667
148, 39, 150, 4933.333333, 5002.000000, 5010.000000, 68.666667, 76.666667
149, 30, 151, 4966.666667, 5032.000000, 5043.333333, 65.333333, 76.666667
150, 37, 152, 5000.000000, 5070.333333, 5076.666667, 70.333333, 76.666667
151, 34, 153, 5033.333333, 5100.666667, 5110.000000, 67.333333, 76.666667
152, 37, 154, 5066.666667, 5137.000000, 5143.333333, 70.333333, 76.666667
153, 35, 155, 5100.000000, 5168.333333, 5176.666667, 68.333333, 76.666667
154, 32, 156, 5133.333333, 5198.666667, 5210.000000, 65.333333, 76.666667
155, 34, 157, 5166.666667, 5234.000000, 5243.333333, 67.333333, 76.666667
156, 40, 158, 5200.000000, 5269.666667, 5276.666667, 69.666667, 76.666667
157, 28, 159, 5233.333333, 5297.666667, 5310.000000, 64.333333, 76.666667
158, 35, 160, 5266.666667, 5335.000000, 5343.333333, 68.333333, 76.666667
159, 30, 161, 5300.000000, 5363.333333, 5376.666667, 63.333333, 76.666667
160, 35, 162, 5333.333333, 5401.666667, 5410.000000, 68.333333, 76.666667
161, 32, 163, 5366.666667, 5432.000000, 5443.333333, 65.333333, 76.666667
162, 32, 164, 5400.000000, 5465.333333, 5476.666667, 65.333333, 76.666667
163, 30, 165, 5433.333333, 5496.666667, 5510.000000, 63.333333, 76.666667
164, 32, 166, 5466.666667, 5532.000000, 5543.333333, 65.333333, 76.666667
165, 29, 167, 5500.000000, 5562.333333, 5576.666667, 62.333333, 76.666667
166, 33, 168, 5533.333333, 5599.666667, 5610.000000, 66.333333, 76.666667
167, 31, 169, 5566.666667, 5631.000000, 5643.333333, 64.333333, 76.666667
168, 38, 170, 5600.000000, 5667.666667, 5676.666667, 67.666667, 76.666667
169, 33, 171, 5633.333333, 5700.666667, 5710.000000, 67.333333, 76.666667
170, 32, 172, 5666.666667, 5732.000000, 5743.333333, 65.333333, 76.666667
171, 32, 173, 5700.000000, 5765.333333, 5776.666667, 65.333333, 76.666667
172, 37, 174, 5733.333333, 5803.666667, 5810.000000, 70.333333, 76.666667
173, 30, 175, 5766.666667, 5830.000000, 5843.333333, 63.333333, 76.666667
174, 39, 176, 5800.000000, 5868.666667, 5876.666667, 68.666667, 76.666667
175, 33, 177, 5833.333333, 5901.666667, 5910.000000, 68.333333, 76.666667
176, 40, 178, 5866.666667, 5936.333333, 5943.333333, 69.666667, 76.666667
177, 36, 179, 5900.000000, 5968.666667, 5976.666667, 68.666667, 76.666667
178, 36, 180, 5933.333333, 6001.000000, 6010.000000, 67.666667, 76.666667
179, 38, 181, 5966.666667, 6035.333333, 6043.333333, 68.666667, 76.666667
180, 40, 182, 6000.000000, 6071.666667, 6076.666667, 71.666667, 76.666667
181, 31, 183, 6033.333333, 6102.666667, 6110.000000, 69.333333, 76.666667
182, 38, 184, 6066.666667, 6134.333333, 6143.333333, 67.666667, 76.666667
