rtt,drop_ratio,max_delay,p99_delay,p999_delay
10,2,91.667,54.667700000000025,84.66707000000068
20,2,96.667,59.667700000000025,89.66707000000068
30,2,101.667,64.66770000000002,94.66707000000068
50,2,138.334,104.66770000000002,132.73393000000056
100,2,216.668,183.00170000000003,211.06793000000056
10,3,151.667,84.66770000000002,138.3670700000013
20,3,156.667,89.66770000000002,143.3670700000013
30,3,161.667,94.66770000000002,148.3670700000013
50,3,228.334,164.66770000000002,216.43393000000117
100,3,366.668,303.0017,354.7679300000012
10,5,271.66700000000003,144.66770000000002,245.76707000000255
20,5,276.66700000000003,149.66770000000002,250.76707000000255
30,5,281.66700000000003,154.66770000000002,255.76707000000255
50,5,408.334,284.6677,383.8339300000024
100,5,666.668,543.0017,642.1679300000023
10,10,571.667,294.66770000000014,514.2670700000057
20,10,576.667,299.66770000000014,519.2670700000057
30,10,581.667,304.66770000000014,524.2670700000057
50,10,858.3340000000001,584.6677000000001,802.3339300000055
100,10,1416.6680000000001,1143.0017,1360.6679300000055
