rtt,drop_ratio,max_delay,p99_delay,p999_delay
10,2,13.988,6.743400000000013,13.263540000000047
20,2,26.819999999999997,19.565609999999943,26.09456100000017
30,2,40.00800000000004,32.74293000000022,39.28149300000016
50,2,66.0280000000001,58.743350000000184,65.29953500000015
100,2,130.89999999999998,123.56551000000009,130.16655100000014
10,3,23.588,14.183570000000058,22.620957000000164
20,3,45.22,35.79694999999997,44.25109500000001
30,3,67.608,58.16366999999979,66.63696700000006
50,3,111.62800000000001,102.1437700000004,110.65297700000028
100,3,221.3,211.7173499999994,220.3151350000001
10,5,42.788000000000004,29.52793999999982,41.28439400000017
20,5,82.01999999999995,68.7199800000001,80.51239800000016
30,5,122.8079999999999,109.46802000000021,121.29640200000009
50,5,202.8280000000002,189.40809999999973,201.3084100000003
100,5,402.0999999999998,388.48030000000097,400.56043000000005
10,10,90.78799999999997,68.36599999999984,88.27940000000011
20,10,174.02000000000004,151.5092000000007,171.5025200000005
30,10,260.80800000000033,238.20396000000096,258.2811960000004
50,10,430.82799999999963,408.0463599999986,428.28343599999965
100,10,854.1000000000024,830.8699200000046,851.5105920000029
